NUM_TITULO,FILIAL,CGC,CLIENTE,BAIRRO,MUCINIPIO,ESTADO,CEP,CONTATO,VALOR,SALDO,VCTO_REAL
000002484,IGUATU,13693377000115,A C MONTEIRO        ,FLORES              ,IGUATU         ,CE,63500494,88996758808    ,R$462.29,R$462.29,16/08/2019
000002518,IGUATU,13693377000115,A C MONTEIRO        ,FLORES              ,IGUATU         ,CE,63500494,88996758808    ,R$462.29,R$462.29,16/09/2019
000000515,IGUATU,18889194000193,AFPC NORTH SHOPPING ,JOQUEI CLUBE        ,FORTALEZA      ,CE,60520102,(85) 3131.6400 ,R$50.40,R$50.40,07/10/2015
000000515,IGUATU,18889194000193,AFPC NORTH SHOPPING ,JOQUEI CLUBE        ,FORTALEZA      ,CE,60520102,(85) 3131.6400 ,R$50.40,R$50.40,07/10/2015
000001030,IGUATU,18846904000106,ATIVA INFORMATICA E ,CENTRO              ,IGUATU         ,CE,63500035,8835814918     ,R$400.00,R$400.00,30/09/2016
000001039,IGUATU,18846904000106,ATIVA INFORMATICA E ,CENTRO              ,IGUATU         ,CE,63500035,8835814918     ,R$400.00,R$400.00,31/10/2016
000001119,IGUATU,18846904000106,ATIVA INFORMATICA E ,CENTRO              ,IGUATU         ,CE,63500035,8835814918     ,R$400.00,R$400.00,30/11/2016
000002833,IGUATU,00000000000191,BANCO DO BRASIL - BR,ASA NORTE           ,BRASILIA       ,DF,70040912,               ,R$234.00,R$234.00,15/04/2020
000002856,IGUATU,00000000000191,BANCO DO BRASIL - BR,ASA NORTE           ,BRASILIA       ,DF,70040912,               ,R$936.00,R$936.00,01/06/2020
000000448,IGUATU,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$1,135.20","R$1,135.20",08/07/2015
000002862,IGUATU,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$1,757.40","R$1,757.40",15/05/2020
000002882,IGUATU,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,R$870.00,R$870.00,15/06/2020
000001239,IGUATU,00273362000156,BDF VIAGENS         ,PIO XII             ,JUAZEIRO DO NOR,CE,63020330,35125691       ,R$347.99,R$347.99,12/01/2017
000002660,IGUATU,31552009000139,CEP COLEGIO EMILIA P,CENTRO              ,IGUATU         ,CE,63500970,8835813626     ,R$528.00,R$528.00,09/01/2020
000002699,IGUATU,31552009000139,CEP COLEGIO EMILIA P,CENTRO              ,IGUATU         ,CE,63500970,8835813626     ,R$528.00,R$528.00,15/01/2020
000002859,IGUATU,07327166000166,CEQUIP              ,MESSEJANA           ,FORTALEZA      ,CE,60871200,34444444       ,R$533.34,R$533.34,15/05/2020
000002837,IGUATU,56992951001030,DSM PRODUTOS        ,VILA NOVA CONCEICAO ,SAO PAULO      ,SP,04543907,1137287117     ,"R$1,368.58","R$1,368.58",15/06/2020
000001292,IGUATU,09662148000166,EDY SERIGRAF        ,VENEZA              ,IGUATU         ,CE,63504440,35810221       ,R$546.00,R$546.00,15/03/2017
000001334,IGUATU,09662148000166,EDY SERIGRAF        ,VENEZA              ,IGUATU         ,CE,63504440,35810221       ,R$546.00,R$546.00,17/04/2017
000001721,IGUATU,22944594000121,GM POCOS ARTESIANO E,FLORES              ,IGUATU         ,CE,63500504,35810002       ,R$510.00,R$510.00,15/01/2018
000001763,IGUATU,22944594000121,GM POCOS ARTESIANO E,FLORES              ,IGUATU         ,CE,63500504,35810002       ,R$510.00,R$510.00,15/02/2018
000000982,IGUATU,22716073000117,GT CONSORCIOS       ,SAPIRANGA           ,FORTALEZA      ,CE,60833075,30230008       ,R$270.00,R$270.00,01/08/2016
000000982,IGUATU,22716073000117,GT CONSORCIOS       ,SAPIRANGA           ,FORTALEZA      ,CE,60833075,30230008       ,R$270.00,R$270.00,16/08/2016
000001029,IGUATU,12477821000100,IDEIA DE EVENTO     ,ALDEOTA             ,FORTALEZA      ,CE,60150160,8532438001     ,"R$2,000.00","R$2,000.00",12/09/2016
000002830,IGUATU,03528372000183,LIVRARIA INFORMATIVA,CENTRO              ,IGUATU         ,CE,63500053,35811040       ,R$352.00,R$352.00,15/04/2020
000001702,IGUATU,06291437000108,LOCALIZA FRANCHISING,CACHOEIRINHA        ,BELO HORIZONTE ,MG,31150000,3121029300     ,R$396.00,R$396.00,22/12/2017
000002848,IGUATU,16652310000120,MARIA ERONI         ,COCOBO              ,IGUATU         ,CE,63505005,96150372       ,R$396.00,R$396.00,15/06/2020
000002725,IGUATU,05756246000454,MINISTERIO DA CIDADA,ASA NORTE           ,BRASILIA       ,DF,70040902,6120302266     ,R$208.80,R$208.80,15/01/2020
000002795,IGUATU,05756246000454,MINISTERIO DA CIDADA,ASA NORTE           ,BRASILIA       ,DF,70040902,6120302266     ,R$609.00,R$609.00,16/03/2020
000000768,IGUATU,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,R$579.16,R$579.16,15/03/2016
000002030,IGUATU,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,R$571.20,R$571.20,17/09/2018
000002831,IGUATU,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,R$278.40,R$278.40,15/04/2020
000001829,IGUATU,37115342000167,MINISTERIO DOS TRANS,PLANO PILOTO        ,BRASILIA       ,DF,70044902,6120297000     ,R$783.36,R$783.36,15/03/2018
000002858,IGUATU,07870094000107,MOB TELECOM         ,MEIRELES            ,FORTALEZA      ,CE,60165080,8531983055     ,R$367.62,R$367.62,11/05/2020
000000513,IGUATU,05825973000183,NORTH SHOPPING MARAC,CENTRO              ,MARACANAU      ,CE,61900225,33119377       ,R$12.60,R$12.60,30/09/2015
000000513,IGUATU,05825973000183,NORTH SHOPPING MARAC,CENTRO              ,MARACANAU      ,CE,61900225,33119377       ,R$12.60,R$12.60,15/10/2015
000002805,IGUATU,05715917000196,OTICA JOIA          ,CENTRO              ,IGUATU         ,CE,63500032,8835810035     ,R$800.00,R$800.00,15/04/2020
000002674,IGUATU,09234494000143,SECOM               ,PLANO PILOTO        ,BRASILIA       ,DF,70054906,6134111279     ,R$174.00,R$174.00,30/12/2019
000002748,IGUATU,09234494000143,SECOM               ,PLANO PILOTO        ,BRASILIA       ,DF,70054906,6134111279     ,R$435.00,R$435.00,17/02/2020
000000514,IGUATU,20705986000102,VIA SUL - ASSOC     ,MESSEJANA           ,FORTALEZA      ,CE,60833005,30528016       ,R$21.00,R$21.00,06/10/2015
000000514,IGUATU,20705986000102,VIA SUL - ASSOC     ,MESSEJANA           ,FORTALEZA      ,CE,60833005,30528016       ,R$21.00,R$21.00,06/10/2015
000001183,IGUATU,22575834000168,VOS-BPSJ            ,PORTO DAS DUNAS     ,AQUIRAZ        ,CE,61700000,               ,R$960.00,R$960.00,15/12/2016
000008119,LIMOEIRO NORTE,18889194000193,AFPC NORTH SHOPPING ,JOQUEI CLUBE        ,FORTALEZA      ,CE,60520102,(85) 3131.6400 ,R$50.40,R$50.40,07/10/2015
000008119,LIMOEIRO NORTE,18889194000193,AFPC NORTH SHOPPING ,JOQUEI CLUBE        ,FORTALEZA      ,CE,60520102,(85) 3131.6400 ,R$50.40,R$50.40,07/10/2015
