NUM TITULO;FILIAL;CNPJ;CLIENTE;BAIRRO;MUNICIPIO;ESTADO;CEP;CONTATO; VALOR ; SALDO ;VCTO REAL
000002484;IGUATU;13693377000115;A C MONTEIRO        ;FLORES              ;IGUATU         ;CE;63500494;88996758808    ; 462,29 ; 462,29 ;16/08/2019
000002518;IGUATU;13693377000115;A C MONTEIRO        ;FLORES              ;IGUATU         ;CE;63500494;88996758808    ; 462,29 ; 462,29 ;16/09/2019
000000515;IGUATU;18889194000193;AFPC NORTH SHOPPING ;JOQUEI CLUBE        ;FORTALEZA      ;CE;60520102;(85) 3131.6400 ; 50,40 ; 50,40 ;07/10/2015
000000515;IGUATU;18889194000193;AFPC NORTH SHOPPING ;JOQUEI CLUBE        ;FORTALEZA      ;CE;60520102;(85) 3131.6400 ; 50,40 ; 50,40 ;07/10/2015
000001030;IGUATU;18846904000106;ATIVA INFORMATICA E ;CENTRO              ;IGUATU         ;CE;63500035;8835814918     ; 400,00 ; 400,00 ;30/09/2016
000001039;IGUATU;18846904000106;ATIVA INFORMATICA E ;CENTRO              ;IGUATU         ;CE;63500035;8835814918     ; 400,00 ; 400,00 ;31/10/2016
000001119;IGUATU;18846904000106;ATIVA INFORMATICA E ;CENTRO              ;IGUATU         ;CE;63500035;8835814918     ; 400,00 ; 400,00 ;30/11/2016
000001239;IGUATU;00273362000156;BDF VIAGENS         ;PIO XII             ;JUAZEIRO DO NOR;CE;63020330;35125691       ; 347,99 ; 347,99 ;12/01/2017
000001292;IGUATU;09662148000166;EDY SERIGRAF        ;VENEZA              ;IGUATU         ;CE;63504440;35810221       ; 546,00 ; 546,00 ;15/03/2017
000001334;IGUATU;09662148000166;EDY SERIGRAF        ;VENEZA              ;IGUATU         ;CE;63504440;35810221       ; 546,00 ; 546,00 ;17/04/2017
000001721;IGUATU;22944594000121;GM POCOS ARTESIANO E;FLORES              ;IGUATU         ;CE;63500504;35810002       ; 510,00 ; 510,00 ;15/01/2018
000001763;IGUATU;22944594000121;GM POCOS ARTESIANO E;FLORES              ;IGUATU         ;CE;63500504;35810002       ; 510,00 ; 510,00 ;15/02/2018
000000982;IGUATU;22716073000117;GT CONSORCIOS       ;SAPIRANGA           ;FORTALEZA      ;CE;60833075;30230008       ; 270,00 ; 270,00 ;01/08/2016
000000982;IGUATU;22716073000117;GT CONSORCIOS       ;SAPIRANGA           ;FORTALEZA      ;CE;60833075;30230008       ; 270,00 ; 270,00 ;16/08/2016
000001029;IGUATU;12477821000100;IDEIA DE EVENTO     ;ALDEOTA             ;FORTALEZA      ;CE;60150160;8532438001     ; 2.000,00 ; 2.000,00 ;12/09/2016
000001702;IGUATU;06291437000108;LOCALIZA FRANCHISING;CACHOEIRINHA        ;BELO HORIZONTE ;MG;31150000;3121029300     ; 396,00 ; 396,00 ;22/12/2017
000000513;IGUATU;05825973000183;NORTH SHOPPING MARAC;CENTRO              ;MARACANAU      ;CE;61900225;33119377       ; 12,60 ; 12,60 ;30/09/2015
000000513;IGUATU;05825973000183;NORTH SHOPPING MARAC;CENTRO              ;MARACANAU      ;CE;61900225;33119377       ; 12,60 ; 12,60 ;15/10/2015
000000514;IGUATU;20705986000102;VIA SUL - ASSOC     ;MESSEJANA           ;FORTALEZA      ;CE;60833005;30528016       ; 21,00 ; 21,00 ;06/10/2015
000000514;IGUATU;20705986000102;VIA SUL - ASSOC     ;MESSEJANA           ;FORTALEZA      ;CE;60833005;30528016       ; 21,00 ; 21,00 ;06/10/2015
000008119;LIMOEIRO NORTE;18889194000193;AFPC NORTH SHOPPING ;JOQUEI CLUBE        ;FORTALEZA      ;CE;60520102;(85) 3131.6400 ; 50,40 ; 50,40 ;07/10/2015
000008119;LIMOEIRO NORTE;18889194000193;AFPC NORTH SHOPPING ;JOQUEI CLUBE        ;FORTALEZA      ;CE;60520102;(85) 3131.6400 ; 50,40 ; 50,40 ;07/10/2015
000007956;LIMOEIRO NORTE;12708196000152;AGUA DE CHEIRO - LIM;CENTRO              ;LIMOEIRO DO NOR;CE;62930000;34231085       ; 360,00 ; 360,00 ;29/06/2015
000008008;LIMOEIRO NORTE;12708196000152;AGUA DE CHEIRO - LIM;CENTRO              ;LIMOEIRO DO NOR;CE;62930000;34231085       ; 360,00 ; 360,00 ;29/07/2015
000008093;LIMOEIRO NORTE;12708196000152;AGUA DE CHEIRO - LIM;CENTRO              ;LIMOEIRO DO NOR;CE;62930000;34231085       ; 360,00 ; 360,00 ;31/08/2015
000005621;LIMOEIRO NORTE;14271682000181;AUTO ESCOLA MAIA    ;CENTRO              ;LIMOEIRO DO NOR;CE;62930000;8834231561     ; 470,00 ; 470,00 ;01/10/2012
000005725;LIMOEIRO NORTE;14271682000181;AUTO ESCOLA MAIA    ;CENTRO              ;LIMOEIRO DO NOR;CE;62930000;8834231561     ; 582,00 ; 582,00 ;05/11/2012
000005777;LIMOEIRO NORTE;14271682000181;AUTO ESCOLA MAIA    ;CENTRO              ;LIMOEIRO DO NOR;CE;62930000;8834231561     ; 582,00 ; 582,00 ;03/12/2012
